Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring ATLAS (DYNAMIC TP/SL)...
  SL: $0.00018998
  TP1: $0.00020761 (50% exit)
  TP2: $0.00021487 (final exit)
  Max Hold: 180 min
8:20:09 PM | ATLAS: $0.00020210 | PnL: 0.00% | Hold: 179m left
8:29:33 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 170m left
8:29:39 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 170m left
8:29:44 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 170m left
8:29:49 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 170m left
8:29:54 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 170m left
8:29:59 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 170m left
8:30:04 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 170m left
8:30:10 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:15 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:20 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:25 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:30 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:35 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:40 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:46 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:51 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:30:56 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:31:01 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:31:06 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 169m left
8:31:11 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:16 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:22 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:27 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:32 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:37 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:42 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:47 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:53 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:31:58 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:32:03 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:32:08 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 168m left
8:32:13 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:32:18 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:32:24 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:32:29 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:32:34 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:32:39 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
