Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring awi (DYNAMIC TP/SL v2 - 5s interval)...
  Entry: $0.00045020
  Initial SL: $0.00044120
  Initial TP1: $0.00046821
  Initial TP2: $0.00047721
  Max Hold: 15 min (0.3 hours)
  Trailing: ENABLED (activates at +5%)
11:30:12 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:31:54 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:31:59 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:32:05 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:32:10 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:32:15 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:32:20 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:32:26 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:32:31 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:32:36 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:32:41 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:32:46 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:32:51 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:32:56 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:01 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:06 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:12 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:17 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:22 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:27 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:32 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:37 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:42 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:47 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:53 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:33:58 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:03 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:08 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:13 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:18 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:23 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:28 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:33 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
