Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring COPE (DYNAMIC TP/SL)...
  SL: $0.00177195
  TP1: $0.00193636 (50% exit)
  TP2: $0.00200409 (final exit)
  Max Hold: 180 min
11:45:10 PM | COPE: $0.00188500 | PnL: 0.00% | Hold: 179m left
12:43:26 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:43:31 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:43:36 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:43:41 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:43:46 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:43:51 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:43:56 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:44:01 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:44:07 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 121m left
12:44:12 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:17 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:22 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:27 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:32 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:37 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:43 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:48 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:53 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:44:58 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:45:03 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:45:08 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 120m left
12:45:13 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:19 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:24 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:29 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:34 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:39 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:44 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:49 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:54 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:45:59 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:46:04 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:46:10 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 119m left
12:46:15 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:46:20 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:46:25 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:46:30 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:46:35 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:46:40 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:46:45 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:46:50 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:46:56 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:47:01 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:47:06 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 118m left
12:47:12 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:17 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:22 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:27 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:32 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:37 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:42 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:47 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:52 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:47:58 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:48:03 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
