Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring mSOL (DYNAMIC TP/SL v2 - 5s interval)...
  Entry: $115.48000000
  Initial SL: $113.63232000
  Initial TP1: $119.63728000
  Initial TP2: $121.71592000
  Max Hold: 15 min (0.3 hours)
  Trailing: ENABLED (activates at +5%)
5:27:04 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:33:15 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:20 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:25 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:31 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:36 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:41 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:46 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:51 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:56 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:34:01 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:34:07 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:34:12 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:34:17 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:34:22 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:34:27 PM | mSOL: $115.58000000 | PnL: +0.09% | Momentum: neutral | SL: $113.632320
5:34:32 PM | mSOL: $115.58000000 | PnL: +0.09% | Momentum: neutral | SL: $113.632320
5:34:37 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:34:42 PM | mSOL: $115.58000000 | PnL: +0.09% | Momentum: neutral | SL: $113.632320
5:34:48 PM | mSOL: $115.58000000 | PnL: +0.09% | Momentum: neutral | SL: $113.632320
5:34:53 PM | mSOL: $115.58000000 | PnL: +0.09% | Momentum: neutral | SL: $113.632320
